customer_id,id_number,customer_name,gender,age,home_address,zip_code,city,modify_date,state_country
1,942936812,Leanna Busson,Female,30 years old,8606 Victoria TerraceSuite 560,5464,Johnstonhaven,30/11/2020,"Northern Territory, Australia"
2,703257439,Zabrina Harrowsmith,Genderfluid,69 years old,8327 Kirlin SummitApt. 461,8223,New Zacharyfort,01/07/2021,"South Australia, Australia"
3,523807943,Shina Dullaghan,Polygender,59 years old,269 Gemma SummitSuite 109,5661,Aliburgh,31/01/2021,"Australian Capital Territory, Australia"
4,412386398,Hewet McVitie,Bigender,67 years old,743 Bailey GroveSuite 141,1729,South Justinhaven,31/03/2021,"Queensland, Australia"
5,914113955,Rubia Ashleigh,Polygender,30 years old,48 Hyatt ManorSuite 375,4032,Griffithsshire,31/01/2021,"Queensland, Australia"
6,726150300,Cordey Tolcher,Genderfluid,40 years old,7118 Mccullough SquareSuite 639,9996,Blakehaven,28/02/2021,"New South Wales, Australia"
7,708461607,Winslow Ewbanck,Bigender,76 years old,92 Hills Station StApt. 683,793,Masonfurt,01/07/2021,"Queensland, Australia"
8,771921212,Marlowe Wynn,Agender,75 years old,383 Muller SummitSuite 809,7681,Samside,31/03/2021,"Northern Territory, Australia"
9,405933479,Brittaney Gontier,Male,51 years old,57 Greenfelder HillApt. 077,2,Beierport,31/03/2021,"Northern Territory, Australia"
10,799979386,Susanetta Wilshin,Bigender,70 years old,615 Hayley KnollSuite 454,2118,Joelburgh,31/03/2021,"Western Australia, Australia"
11,580512189,Michaeline McIndrew,Agender,39 years old,96 Daniel PlaceSuite 898,7400,Georgeland,30/11/2020,"Northern Territory, Australia"
12,242455170,Fedora Dmych,Bigender,78 years old,66 Kayla MewsSuite 951,6334,Taylorburgh,30/04/2021,"South Australia, Australia"
13,913819674,Marabel Swinfon,Male,42 years old,16 Kuhn LoopSuite 442,6170,Maddisonmouth,01/08/2021,"Queensland, Australia"
14,931594253,Chrissie Wackly,Bigender,36 years old,403 Doherty RunSuite 497,2050,North Benjaminville,31/03/2021,"New South Wales, Australia"
15,276381593,Avril Rossiter,Genderfluid,34 years old,254 Ali RidgeApt. 350,491,Kiehnburgh,01/09/2021,"Western Australia, Australia"
16,798178489,Gabbie Aldwinckle,Male,75 years old,424 Mason PlaceApt. 181,6438,New Kai,01/09/2021,"Victoria, Australia"
17,566178284,Devonna Cutting,Genderfluid,32 years old,29 Imogen CrestSuite 275,8309,Lake Graceside,01/08/2021,"Australian Capital Territory, Australia"
18,490607485,Chan Duchesne,Male,79 years old,13 Bailey ManorApt. 848,7171,Walterland,01/07/2021,"New South Wales, Australia"
19,127189543,Chadwick Cruddas,Agender,41 years old,002 Beau PlazaApt. 308,7053,West Bailey,31/01/2021,"Victoria, Australia"
20,147680649,Gigi Kalaher,Genderqueer,55 years old,2069 Phoebe MallApt. 543,6318,East Audrey,01/08/2021,"South Australia, Australia"
21,870817575,Seana Hearons,Non-binary,31 years old,93 Doherty MewsSuite 649,1133,South Callum,30/04/2021,"Tasmania, Australia"
22,806056342,Blayne Sabatier,Non-binary,20 years old,292 Casper IslandSuite 778,6624,Maxberg,31/12/2020,"Victoria, Australia"
23,877491090,Alair Grimwad,Female,32 years old,682 Rose CircleApt. 514,1832,North Mia,01/08/2021,"Tasmania, Australia"
24,933644317,Rici Fogden,Genderfluid,49 years old,75 Williamson MewsSuite 864,4359,Charliebury,31/12/2020,"Northern Territory, Australia"
25,324551085,Ernaline Luce,Genderqueer,75 years old,02 Gabriella PlazaApt. 474,9311,Olivershire,28/02/2021,"Victoria, Australia"
